session	topic	subject	product	goal	tasktype
1	1	1	factual	specific	known-item
2	2	1	intellectual	specific	interpretive
3	3	2	factual	amorphous	known-subject
4	4	3	factual	amorphous	known-subject
5	4	3	factual	amorphous	known-subject
6	5	3	intellectual	amorphous	exploratory
7	5	3	intellectual	amorphous	exploratory
8	6	4	factual	specific	known-item
9	6	4	factual	specific	known-item
10	7	4	intellectual	specific	interpretive
11	8	5	factual	specific	known-item
12	8	5	factual	specific	known-item
13	8	5	factual	specific	known-item
14	9	5	intellectual	amorphous	exploratory
15	9	5	intellectual	amorphous	exploratory
16	9	5	intellectual	amorphous	exploratory
17	10	6	intellectual	amorphous	exploratory
18	10	6	intellectual	amorphous	exploratory
19	11	7	factual	specific	known-item
20	11	7	factual	specific	known-item
21	11	7	factual	specific	known-item
22	12	7	factual	amorphous	known-subject
23	12	7	factual	amorphous	known-subject
24	13	8	factual	specific	known-item
25	13	8	factual	specific	known-item
26	14	8	factual	amorphous	known-subject
27	14	8	factual	amorphous	known-subject
28	14	8	factual	amorphous	known-subject
29	15	9	factual	specific	known-item
30	15	9	factual	specific	known-item
31	16	9	factual	amorphous	known-subject
32	16	9	factual	amorphous	known-subject
33	16	9	factual	amorphous	known-subject
34	17	10	factual	specific	known-item
35	18	10	intellectual	specific	interpretive
36	18	10	intellectual	specific	interpretive
37	18	10	intellectual	specific	interpretive
38	19	11	factual	specific	known-item
39	20	11	intellectual	amorphous	exploratory
40	21	12	factual	specific	known-item
41	21	12	factual	specific	known-item
42	21	12	factual	specific	known-item
43	21	12	factual	specific	known-item
44	22	12	factual	amorphous	known-subject
45	22	12	factual	amorphous	known-subject
46	23	13	factual	specific	known-item
47	23	13	factual	specific	known-item
48	24	13	intellectual	amorphous	exploratory
49	24	13	intellectual	amorphous	exploratory
50	24	13	intellectual	amorphous	exploratory
51	24	13	intellectual	amorphous	exploratory
52	24	13	intellectual	amorphous	exploratory
53	25	15	factual	specific	known-item
54	26	16	factual	specific	known-item
55	26	16	factual	specific	known-item
56	26	16	factual	specific	known-item
57	27	16	intellectual	amorphous	exploratory
58	27	16	intellectual	amorphous	exploratory
59	27	16	intellectual	amorphous	exploratory
60	27	16	intellectual	amorphous	exploratory
61	28	17	factual	specific	known-item
62	28	17	factual	specific	known-item
63	29	17	intellectual	amorphous	exploratory
64	30	18	factual	specific	known-item
65	31	18	factual	amorphous	known-subject
66	32	19	factual	specific	known-item
67	32	19	factual	specific	known-item
68	33	19	factual	amorphous	known-subject
69	34	19	intellectual	amorphous	exploratory
70	34	19	intellectual	amorphous	exploratory
71	35	20	factual	specific	known-item
72	35	20	factual	specific	known-item
73	35	20	factual	specific	known-item
74	36	20	factual	amorphous	known-subject
75	37	20	intellectual	amorphous	exploratory
76	38	20	intellectual	specific	interpretive
77	38	20	intellectual	specific	interpretive
78	39	21	factual	specific	known-item
79	39	21	factual	specific	known-item
80	40	21	factual	amorphous	known-subject
81	40	21	factual	amorphous	known-subject
82	41	21	intellectual	specific	interpretive
83	41	21	intellectual	specific	interpretive
84	42	21	factual	amorphous	known-subject
85	43	22	factual	specific	known-item
86	43	22	factual	specific	known-item
87	44	22	factual	amorphous	known-subject
88	45	22	factual	specific	known-item
89	45	22	factual	specific	known-item
90	46	23	intellectual	amorphous	exploratory
91	46	23	intellectual	amorphous	exploratory
92	47	24	factual	specific	known-item
93	47	24	factual	specific	known-item
94	47	24	factual	specific	known-item
95	47	24	factual	specific	known-item
96	48	24	intellectual	specific	interpretive
97	48	24	intellectual	specific	interpretive
98	48	24	intellectual	specific	interpretive
