00928-12	4
903	4
83	3
2440	1
3147	4
2177	1
01014-12	4
813	4
25	2
3579	4
1314	4
1524	4
01003-2	4
00862-3	4
2196	1
3233	2
00861-3	3
01031-1	4
4017	4
1866	4
1337	4
00930-1	4
2816	4
659	4
00879-10	4
00863-4	4
00945-77	2
1816	4
2440	4
3703	4
3162	4
1407	4
00879-98	4
00862-3	4
1676	4
807	4
3196	4
1881	3
01047-1	4
2855	4
2596	1
00932-6	4
2196	4
2057	4
3633	2
00900-11	4
2188	4
1507	4
3456	4
00875-4	4
989	4
3219	4
00928-2	4
739	2
2963	3
3196	4
00922-82	3
01014-1	3
00873-15	3
00916-4	4
2897	4
00879-7	4
439	2
3512	4
2001	4
694	4
00915-19	4
4092	4
2718	3
530	3
2594	3
2905	4
1837	4
00859-1	1
00945-77	4
00899-22	2
869	1
1881	4
1596	4
924	4
3077	3
01003-20	4
1502	4
00893-21	4
01035-8	3
1892	4
810	4
2855	4
1333	4
2909	3
2536	1
3957	2
1329	3
00899-14	4
2588	4
01010-11	4
2132	3
3503	4
1006	4
2876	4
00915-19	4
2505	4
2897	4
1350	4
1901	1
3008	4
1332	1
810	1
2008	3
3703	4
00907-10	4
1305	3
2660	1
889	4
924	4
2816	4
3119	4
2124	1
00859-1	1
00895-15	4
2536	2
83	4
00907-16	4
821	1
00902-7	4
00922-82	2
2057	4
1878	4
2300	3
00893-29	4
3671	2
00879-91	3
818	4
00859-14	2
01003-2	4
2657	1
1810	4
3606	4
1525	1
2154	2
00893-36	4
00945-6	4
00873-15	3
883	4
00945-11	4
2841	4
865	3
00899-12	4
3219	2
707	3
328	2
3123	4
00927-12	4
1542	4
1819	4
00875-5	4
2004	4
00862-15	4
00862-15	4
1332	4
3825	4
2314	4
1779	4
1547	4
2504	4
00879-99	4
1824	4
01003-3	4
3452	4
2588	1
1727	4
602	4
3843	3
00907-10	3
00873-15	4
1919	4
694	4
2578	3
838	2
2154	1
2194	1
2596	4
2957	4
2106	1
01045-1	4
2828	4
00949-9	3
1866	4
542	4
2214	3
00899-22	3
1479	4
3251	1
2419	4
00893-43	2
603	4
00879-7	4
1350	4
00851-66	2
514	4
00932-3	4
1810	4
702	4
3685	4
328	2
638	4
3822	4
719	1
24	2
01003-3	4
3503	4
24	4
01040-51	4
1894	4
2591	2
838	4
926	4
726	3
719	2
00856-60	4
2105	1
1779	4
00859-14	2
01040-49	4
01010-1	4
1624	4
518	4
00893-36	4
3709	3
505	4
00902-7	4
1343	3
2254	1
00927-12	4
2974	4
2504	1
2110	1
00856-3	4
1547	4
7	3
2419	3
2528	1
745	4
3430	4
609	4
3957	1
01040-16	4
00875-10	4
673	4
2584	4
1585	4
3613	2
744	2
2120	2
1525	4
01031-1	4
851	4
00879-1	3
638	4
00930-1	4
1362	4
534	4
2338	4
3452	4
00879-10	3
2712	3
1343	4
840	1
1754	4
1305	4
648	4
01014-12	4
2194	1
2254	3
1207	4
25	1
01010-1	4
937	4
1855	4
2003	4
4019	4
889	1
2078	4
2188	1
710	4
1628	4
00862-3	4
530	4
1649	1
1328	3
1855	4
707	4
00879-99	4
01014-1	4
818	1
00875-1	4
00875-10	4
1521	4
613	4
2006	4
00907-16	4
3430	4
2806	4
2660	1
338	4
00949-20	4
2565	4
2593	1
2400	4
1333	3
01035-1	4
3709	4
2078	4
00928-12	3
1589	4
1919	4
1542	4
3251	4
4004	4
1853	4
2528	2
1006	3
01040-49	4
2106	2
00945-11	4
140	4
2974	4
2893	4
00879-32	4
00863-7	4
00875-1	3
202	4
903	4
726	4
00900-11	4
01035-8	4
00851-66	3
3517	4
01047-1	4
2542	4
2581	4
1517	4
1739	4
502	4
01045-1	4
3233	4
00932-6	4
1649	3
3315	4
336	4
00879-1	4
744	4
00879-98	2
1969	3
1521	4
1514	4
2500	3
2001	4
00879-34	4
1328	1
00927-12	4
00879-99	3
00893-43	4
00899-12	4
00949-9	1
3606	3
01045-1	4
1727	4
3986	4
1977	1
00893-21	3
00879-91	4
2132	1
518	4
609	4
00859-14	1
00851-66	4
1845	4
2007	4
1608	2
2006	3
00863-4	4
3116	4
2581	1
00856-3	4
00945-39	4
00856-60	4
2003	3
1502	4
00851-28	4
865	4
3613	2
00930-1	4
1479	4
3456	4
1574	4
1901	2
00859-4	4
1012	3
00863-7	4
2803	4
00893-29	3
2803	4
00875-5	4
813	2
00945-39	2
659	4
1878	4
2150	2
827	1
00932-3	3
00899-22	4
928	4
1384	2
00945-6	4
2657	4
1856	4
2105	3
00879-32	4
01003-20	4
2453	4
01040-51	4
1816	4
2448	2
1845	3
2120	1
00875-4	4
00875-1	4
778	4
807	2
00916-9	4
00861-3	4
1921	4
874	4
00899-14	4
00851-28	4
976	4
1628	4
739	4
1754	4
894	4
1362	1
2150	1
1894	4
821	4
1574	4
00928-2	4
00856-60	4
2314	1
1329	4
3843	3
1514	4
2004	3
1403	4
929	4
1814	4
1407	4
2448	2
1384	4
00895-15	4
763	4
851	3
2828	4
01010-11	4
1841	4
00916-4	4
3923	4
1585	4
3116	4
1827	4
827	4
2591	4
1977	4
2449	1
2110	2
00879-34	3
00862-15	4
01040-16	4
00856-3	4
